pincode,status,is_prime,state
110002,Serviceable,false,
110003,Serviceable,false,
110004,Serviceable,false,
110005,Serviceable,false,
110007,Serviceable,false,
110008,Serviceable,false,
110009,Serviceable,false,
110010,Serviceable,false,
110011,Serviceable,false,
110012,Serviceable,false,
110013,Serviceable,false,
110014,Serviceable,false,
110015,Serviceable,false,
110016,Serviceable,false,
110017,Serviceable,false,
110018,Serviceable,false,
110019,Serviceable,false,
110020,Serviceable,false,
110021,Serviceable,false,
110022,Serviceable,false,
110023,Serviceable,false,
110024,Serviceable,false,
110026,Serviceable,false,
110027,Serviceable,false,
110028,Serviceable,false,
110029,Serviceable,false,
110030,Serviceable,false,
110032,Serviceable,false,
110033,Serviceable,false,
110034,Serviceable,false,
110035,Serviceable,false,
110036,Serviceable,false,
110037,Serviceable,false,
110038,Serviceable,false,
110039,Serviceable,false,
110040,Serviceable,false,
110041,Serviceable,false,
110043,Serviceable,false,
110045,Serviceable,false,
110046,Serviceable,false,
110047,Serviceable,false,
110048,Serviceable,false,
110049,Serviceable,false,
110051,Serviceable,false,
110052,Serviceable,false,
110053,Serviceable,false,
110054,Serviceable,false,
110055,Serviceable,false,
110056,Serviceable,false,
110057,Serviceable,false,
110058,Serviceable,false,
110060,Serviceable,false,
110061,Serviceable,false,
110062,Serviceable,false,
110063,Serviceable,false,
110064,Serviceable,false,
110065,Serviceable,false,
110066,Serviceable,false,
110067,Serviceable,false,
110068,Serviceable,false,
110070,Serviceable,false,
110071,Serviceable,false,
110072,Serviceable,false,
110073,Serviceable,false,
110074,Serviceable,false,
110075,Serviceable,false,
110076,Serviceable,false,
110077,Serviceable,false,
110078,Serviceable,false,
110079,Serviceable,false,
110080,Serviceable,false,
110081,Serviceable,false,
110082,Serviceable,false,
110083,Serviceable,false,
110085,Serviceable,false,
110086,Serviceable,false,
110087,Serviceable,false,
110088,Serviceable,false,
110089,Serviceable,false,
110090,Serviceable,false,
110091,Serviceable,false,
110092,Serviceable,false,
110093,Serviceable,false,
110095,Serviceable,false,
110098,Serviceable,false,
110100,Serviceable,false,
121001,Serviceable,false,
121002,Serviceable,false,
121003,Serviceable,false,
121004,Serviceable,false,
121006,Serviceable,false,
121007,Serviceable,false,
121008,Serviceable,false,
121009,Serviceable,false,
121010,Serviceable,false,
121013,Serviceable,false,
121101,Serviceable,false,
121102,Serviceable,false,
121104,Serviceable,false,
121105,Serviceable,false,
121106,Serviceable,false,
121107,Serviceable,false,
121705,Serviceable,false,
122001,Serviceable,false,
122002,Serviceable,false,
122003,Serviceable,false,
122004,Serviceable,false,
122005,Serviceable,false,
122006,Serviceable,false,
122009,Serviceable,false,
122010,Serviceable,false,
122011,Serviceable,false,
122015,Serviceable,false,
122016,Serviceable,false,
122017,Serviceable,false,
122018,Serviceable,false,
122050,Serviceable,false,
122051,Serviceable,false,
122052,Serviceable,false,
122101,Serviceable,false,
122102,Serviceable,false,
122103,Serviceable,false,
122104,Serviceable,false,
122105,Serviceable,false,
122107,Serviceable,false,
122108,Serviceable,false,
122414,Serviceable,false,
122502,Serviceable,false,
122504,Serviceable,false,
122505,Serviceable,false,
122506,Serviceable,false,
122508,Serviceable,false,
123001,Serviceable,false,
123021,Serviceable,false,
123023,Serviceable,false,
123028,Serviceable,false,
123034,Serviceable,false,
