pincode,status,is_prime,state
110003,Sourcing Allowed - Prime,true,New Delhi
110004,Sourcing Allowed - Prime,true,New Delhi
110005,Sourcing Allowed - Prime,true,New Delhi
110006,Sourcing Allowed - Prime,true,New Delhi
110009,Sourcing Allowed - Prime,true,New Delhi
110010,Sourcing Allowed,false,New Delhi
110011,Sourcing Allowed - Prime,true,New Delhi
110012,Sourcing Allowed - Prime,true,New Delhi
110013,Sourcing Allowed - Prime,true,New Delhi
110014,Sourcing Allowed - Prime,true,New Delhi
110015,Sourcing Allowed - Prime,true,New Delhi
110016,Sourcing Allowed - Prime,true,New Delhi
110017,Sourcing Allowed - Prime,true,New Delhi
110018,Sourcing Allowed - Prime,true,New Delhi
110019,Sourcing Allowed - Prime,true,New Delhi
110020,Sourcing Allowed - Prime,true,New Delhi
110021,Sourcing Allowed - Prime,true,New Delhi
110022,Sourcing Allowed - Prime,true,New Delhi
110023,Sourcing Allowed - Prime,true,New Delhi
110024,Sourcing Allowed - Prime,true,New Delhi
110025,Sourcing Allowed - Prime,true,New Delhi
110026,Sourcing Allowed - Prime,true,New Delhi
110027,Sourcing Allowed - Prime,true,New Delhi
110028,Sourcing Allowed - Prime,true,New Delhi
110029,Sourcing Allowed - Prime,true,New Delhi
110030,Sourcing Allowed - Prime,true,New Delhi
110031,Sourcing Allowed - Prime,true,New Delhi
110032,Sourcing Allowed - Prime,true,New Delhi
110033,Sourcing Allowed - Prime,true,New Delhi
110034,Sourcing Allowed - Prime,true,New Delhi
110035,Sourcing Allowed - Prime,true,New Delhi
110036,Sourcing Allowed - Prime,true,New Delhi
110037,Sourcing Allowed - Prime,true,New Delhi
110038,Sourcing Allowed - Prime,true,New Delhi
110039,Sourcing Allowed - Prime,true,New Delhi
110040,Sourcing Allowed - Prime,true,New Delhi
110041,Sourcing Allowed - Prime,true,New Delhi
110042,Sourcing Allowed - Prime,true,New Delhi
110043,Sourcing Allowed - Prime,true,New Delhi
110044,Sourcing Allowed - Prime,true,New Delhi
110045,Sourcing Allowed - Prime,true,New Delhi
110046,Sourcing Allowed - Prime,true,New Delhi
110047,Sourcing Allowed - Prime,true,New Delhi
110048,Sourcing Allowed - Prime,true,New Delhi
110049,Sourcing Allowed - Prime,true,New Delhi
110050,Sourcing Allowed - Prime,true,New Delhi
110051,Sourcing Allowed - Prime,true,New Delhi
110052,Sourcing Allowed - Prime,true,New Delhi
110053,Sourcing Allowed - Prime,true,New Delhi
110054,Sourcing Allowed - Prime,true,New Delhi
110055,Sourcing Allowed - Prime,true,New Delhi
110056,Sourcing Allowed - Prime,true,New Delhi
110057,Sourcing Allowed - Prime,true,New Delhi
110058,Sourcing Allowed - Prime,true,New Delhi
110059,Sourcing Allowed - Prime,true,New Delhi
110060,Sourcing Allowed - Prime,true,New Delhi
110061,Sourcing Allowed - Prime,true,New Delhi
110062,Sourcing Allowed - Prime,true,New Delhi
110063,Sourcing Allowed - Prime,true,New Delhi
110064,Sourcing Allowed - Prime,true,New Delhi
110065,Sourcing Allowed - Prime,true,New Delhi
110066,Sourcing Allowed - Prime,true,New Delhi
110067,Sourcing Allowed - Prime,true,New Delhi
110068,Sourcing Allowed - Prime,true,New Delhi
110069,Sourcing Allowed - Prime,true,New Delhi
110070,Sourcing Allowed - Prime,true,New Delhi
110071,Sourcing Allowed - Prime,true,New Delhi
110072,Sourcing Allowed - Prime,true,New Delhi
110073,Sourcing Allowed - Prime,true,New Delhi
110074,Sourcing Allowed - Prime,true,New Delhi
110075,Sourcing Allowed - Prime,true,New Delhi
